pendling_rank,location_group,commute_to_billund_min,commute_distance_km,commute_source,billund_rank,distance_to_billund_km,distance_score_0_100,billund_priority_score_0_100,price_efficiency_score_0_100,dog_friendly,rent_per_m2_dkk,Rang,By,mï¿½,Vï¿½r.,Type,Mdl. leje,URL,Billund-score,Plads-score,Pris-score,Samlet vurdering,Kommentar,listing_id,canonical_url,address,postal_code,city_from_page,lat,lon,date_posted,valid_from,monthly_rent_from_page_dkk,area_from_page_m2,rooms_from_page,deposit_dkk,monthly_aconto_dkk,move_in_price_dkk,available_from_text,energy_label,furnished,floor,pets_allowed,pets_policy_text,landlord_name,landlord_validated,scrape_status,scraped_at_utc,samlet_vurdering_num,is_new,card_title,card_description,image_url
1,Billund,5.4,2.8,osrm,3,1.7,95.7,91.7,59.5,True,102.0,3,Billund,98,4,Rï¿½kkehus,9995,https://www.boligportal.dk/r%C3%A6kkehuse/billund/98m2-4-vaer-id-5431909,10,9,8,94,Tï¿½ttest pï¿½ LEGO,5431909,https://www.boligportal.dk/r%C3%A6kkehuse/billund/98m2-4-vaer-id-5431909,Læhegnet,7190,Billund,55.721,9.095,2024-04-15T08:45:51.687277+00:00,2024-04-15T08:45:51.687277+00:00,9995,98,4,29985,9995,49975,31. juli 2026,-,Nej,-,True,Ja,BoligAgent,True,ok,2026-06-06T12:15:34.049764+00:00,94.0,True,4 værelses rækkehus på Læhegnet i Billund udlejes - 98 m² - 9.995 kr,"Velkommen til Ankelbo i Billund. Ankelbo byder dig velkommen med 98 rækkehuse,alle konstrueret i é",https://image-lambda.boligportal.dk/ec64ad956d75c75e658837fae0942021?w=600&h=600&fit=crop&auto=compress%2Cenhance%2Cformat&crop=focalpoint
2,Billund,5.7,2.8,osrm,1,1.5,96.2,90.2,52.2,True,105.2,6,Billund,95,3,Rï¿½kkehus,9995,https://www.boligportal.dk/r%C3%A6kkehuse/billund/95m2-3-vaer-id-5442903,10,8,8,90,Stï¿½rk LEGO-kandidat,5442903,https://www.boligportal.dk/r%C3%A6kkehuse/billund/95m2-3-vaer-id-5442903,Tøndebåndet,7190,Billund,55.718,9.107,2024-06-18T07:25:27.854931+00:00,2024-06-18T07:25:27.854931+00:00,9995,95,3,29985,0,39980,Snarest muligt,,Nej,-,True,Ja,BoligAgent,True,ok,2026-06-06T12:15:37.182635+00:00,90.0,True,Nyopført rækkehuse til leje🏡 - 95 m² - 9.995 kr,Skønt nyopført 3 værelses rækkehus til leje i Billund ved Tøndebåndet Velkommen til et moderne og l,https://image-lambda.boligportal.dk/4d0b25702dd0b67d81eb888f5e0164d9?w=600&h=600&fit=crop&auto=compress%2Cenhance%2Cformat&crop=focalpoint
3,Billund,6.2,3.1,osrm,2,1.6,96.0,89.3,46.7,True,107.6,7,Billund,91,3,Rï¿½kkehus,9795,https://www.boligportal.dk/r%C3%A6kkehuse/billund/91m2-3-vaer-id-5472558,10,8,8,89,Stï¿½rk LEGO-kandidat,5472558,https://www.boligportal.dk/r%C3%A6kkehuse/billund/91m2-3-vaer-id-5472558,Engen,7190,Billund,55.724,9.092,2024-12-16T10:45:39.541188+00:00,2024-12-16T10:45:39.541188+00:00,9795,91,3,29385,9795,48975,1. juli 2026,-,Nej,-,True,Ja,BoligAgent,True,ok,2026-06-06T12:15:38.241835+00:00,89.0,True,3 værelses rækkehus på Engen i Billund udlejes - 91 m² - 9.795 kr,"Velkommen til Ankelbo i Billund. Ankelbo byder dig velkommen med 98 rækkehuse, alle konstrueret på",https://image-lambda.boligportal.dk/94deaf704645fd7a1fccb99ddd080528?w=600&h=600&fit=crop&auto=compress%2Cenhance%2Cformat&crop=focalpoint
4,Give,16.5,15.6,osrm,8,12.9,67.7,66.8,48.0,True,107.0,19,Give,85,3,Rï¿½kkehus,9099,https://www.boligportal.dk/r%C3%A6kkehuse/give/85m2-3-vaer-id-5604793,8,6,9,72,Billigste i Pigernes Kvarter,5604793,https://www.boligportal.dk/r%C3%A6kkehuse/give/85m2-3-vaer-id-5604793,Ane Sørensens Vej,7323,Give,55.837,9.198,2026-03-03T08:31:18.971775+00:00,2026-03-03T08:31:18.971775+00:00,9099,85,3,27297,9099,36396,1. juli 2026,,Nej,-,True,Ja,BoligAgent,True,ok,2026-06-06T12:15:51.507365+00:00,72.0,True,3 værelses rækkehus på Ane Sørensens Vej i Give ud - 85 m² - 9.099 kr,"I Pigernes Kvarter i Give finder du dette indbydende dobbelthus på 85 m² – et hjem, hvor lysindfald,",https://image-lambda.boligportal.dk/6b7eac2a56df4f35ab399fe2ef803fd8?w=600&h=600&fit=crop&auto=compress%2Cenhance%2Cformat&crop=focalpoint
5,Give,16.7,15.7,osrm,5,12.9,67.7,73.6,58.2,True,102.6,2,Give (Pigernes Kvarter),95,4,Rï¿½kkehus,9745,https://www.boligportal.dk/r%C3%A6kkehuse/give/95m2-4-vaer-id-5598027,8,9,9,95,Stï¿½rk all-round kandidat,5598027,https://www.boligportal.dk/r%C3%A6kkehuse/give/95m2-4-vaer-id-5598027,Ane Sørensens Vej,7323,Give,55.837,9.199,2026-02-12T12:59:20.992573+00:00,2026-02-12T12:59:20.992573+00:00,9745,95,4,29235,9745,38980,Snarest muligt,,Nej,-,True,Ja,BoligAgent,True,ok,2026-06-06T12:15:32.990880+00:00,95.0,True,4 værelses rækkehus på Ane Sørensens Vej i Give ud - 95 m² - 9.745 kr,"**Et hjem med ro, lys og plads til hverdagen** På Ane Sørensens Vej finder du et moderne dobbelthus",https://image-lambda.boligportal.dk/1d5ecc94553d5eda70c42bb361673283?w=600&h=600&fit=crop&auto=compress%2Cenhance%2Cformat&crop=focalpoint
6,Give,18.8,17.0,osrm,7,12.9,67.7,71.4,61.8,True,101.0,11,Give,95,3,Rï¿½kkehus,9595,https://www.boligportal.dk/r%C3%A6kkehuse/give/95m2-3-vaer-id-5532006,8,8,9,85,God vï¿½rdi,5532006,https://www.boligportal.dk/r%C3%A6kkehuse/give/95m2-3-vaer-id-5532006,Jensine Nielsens Vej,7323,Give,55.836,9.204,2025-08-15T05:47:35.060093+00:00,2025-08-15T05:47:35.060093+00:00,9595,95,3,28575,0,38170,Snarest muligt,-,Nej,-,True,Ja,BoligAgent,True,ok,2026-06-06T12:15:42.354921+00:00,85.0,True,"Dejligt lyst og nyere rækkehus, - tæt på natur og - 95 m² - 9.595 kr",Dette 3-værelses rækkehus ligger på en stille vej i naturskønne omgivelser i Give. Huset indeholder,https://image-lambda.boligportal.dk/08c08e3a16c2337859da338c9a630a8c?w=600&h=600&fit=crop&auto=compress%2Cenhance%2Cformat&crop=focalpoint
7,Give,19.3,17.3,osrm,6,12.9,67.7,72.2,54.0,True,104.4,5,Give (Pigernes Kvarter),95,4,Rï¿½kkehus,9917,https://www.boligportal.dk/r%C3%A6kkehuse/give/95m2-4-vaer-id-5598025,8,9,8,91,Nï¿½sten identisk med #2,5598025,https://www.boligportal.dk/r%C3%A6kkehuse/give/95m2-4-vaer-id-5598025,Ane Sørensens Vej,7323,Give,55.836,9.201,2026-02-12T12:59:15.048448+00:00,2026-02-12T12:59:15.048448+00:00,9917,95,4,29751,9917,39668,1. august 2026,,Nej,-,True,Ja,BoligAgent,True,ok,2026-06-06T12:15:36.129781+00:00,91.0,True,4 værelses rækkehus på Ane Sørensens Vej i Give ud - 95 m² - 9.917 kr,På en fredelig stikvej i Pigernes Kvarter ligger dette indflytningsklare rækkehus på Ane Sørensens V,https://image-lambda.boligportal.dk/ec4f5fb8dcc60441747749fad530027d?w=600&h=600&fit=crop&auto=compress%2Cenhance%2Cformat&crop=focalpoint
8,Bredsten,19.7,19.8,osrm,10,17.4,56.4,61.6,52.2,True,105.2,15,Bredsten,95,3,Rï¿½kkehus,9995,https://www.boligportal.dk/r%C3%A6kkehuse/bredsten/95m2-3-vaer-id-5638046,7,8,7,79,Roligt omrï¿½de,5638046,https://www.boligportal.dk/r%C3%A6kkehuse/bredsten/95m2-3-vaer-id-5638046,Herman Bangs Vej,7182,Bredsten,55.706,9.39,2026-06-03T22:43:41.686639+00:00,2026-06-03T22:43:41.686639+00:00,9995,95,3,29985,9995,49975,25. august 2026,-,Nej,-,True,Ja,BoligAgent,True,ok,2026-06-06T12:15:46.353140+00:00,79.0,True,3 værelses rækkehus på Herman Bangs Vej i Bredsten - 95 m² - 9.995 kr,Velkommen til Herman Bangs Vej i Bredsten! På Herman Bangs Vej i Bredsten – tæt på Vejle og Billund,https://image-lambda.boligportal.dk/78c604bb2bc6eced73ec84a2af1d64b2?w=600&h=600&fit=crop&auto=compress%2Cenhance%2Cformat&crop=focalpoint
9,Give,20.1,17.6,osrm,4,12.7,68.2,70.5,52.0,True,105.3,12,Give,95,3,Rï¿½kkehus,9999,https://www.boligportal.dk/r%C3%A6kkehuse/give/95m2-3-vaer-id-5598029,8,8,8,84,Aktivitetshus og fï¿½llesskab,5598029,https://www.boligportal.dk/r%C3%A6kkehuse/give/95m2-3-vaer-id-5598029,Sire Eskildsens Vej,7323,Give,55.835,9.198,2026-02-12T12:59:28.794375+00:00,2026-02-12T12:59:28.794375+00:00,9999,95,3,29997,9999,39996,15. juli 2026,,Nej,-,True,Ja,BoligAgent,True,ok,2026-06-06T12:15:43.358297+00:00,84.0,True,3 værelses rækkehus på Sire Eskildsens Vej i Give - 95 m² - 9.999 kr,"### **Velkommen indenfor** På Sire Eskildsens Vej finder du dette moderne dobbelthus, hvor funktion",https://image-lambda.boligportal.dk/e8ce1ac1679cb4902d1d17ad1f97b57f?w=600&h=600&fit=crop&auto=compress%2Cenhance%2Cformat&crop=focalpoint
10,Gadbjerg,20.9,19.1,osrm,9,13.9,65.2,76.9,100.0,False,84.4,1,Gadbjerg,107,4,Rï¿½kkehus,9027,https://www.boligportal.dk/r%C3%A6kkehuse/gadbjerg/107m2-4-vaer-id-5260371,10,10,10,98,Bedste samlede vï¿½rdi,5260371,https://www.boligportal.dk/r%C3%A6kkehuse/gadbjerg/107m2-4-vaer-id-5260371,Sejershaven,7321,Gadbjerg,55.77,9.327,2022-02-17T15:56:54.309240+00:00,2022-02-17T15:56:54.309240+00:00,9027,107,4,27081,0,36108,Snarest muligt,-,Nej,-,False,Nej,BoligAgent,True,ok,2026-06-06T12:15:31.993741+00:00,98.0,True,Rækkehus udlejes - 107 m² - 9.027 kr,Velindrettet rækkehus i Gadbjerg udlejes. Huset er indrettet med: Entre med garderobe og teknikska,https://image-lambda.boligportal.dk/c23e69d12b4b03a397a72f533deb0596?w=600&h=600&fit=crop&auto=compress%2Cenhance%2Cformat&crop=focalpoint
11,Vejle/Grejs/Oedsted,23.9,23.9,osrm,12,19.9,50.1,57.8,57.0,False,103.1,16,ï¿½dsted,101,3,Rï¿½kkehus,10411,https://www.boligportal.dk/r%C3%A6kkehuse/vejle/101m2-3-vaer-id-5289898,7,9,6,78,Stor men dyrere,5289898,https://www.boligportal.dk/r%C3%A6kkehuse/vejle/101m2-3-vaer-id-5289898,Birke Allé,7100,Vejle,55.653,9.402,2022-07-13T15:27:40.856458+00:00,2022-07-13T15:27:40.856458+00:00,10411,101,3,31233,0,52055,1. juli 2026,-,Nej,-,False,Nej,BoligAgent,True,ok,2026-06-06T12:15:47.416428+00:00,78.0,True,3 værelses rækkehus - 101 m² - 10.411 kr,Eksklusive 3 værelses lavenergi rækkehus centralt beliggende i Ødsted. Rækkehusene er bygget så der,https://image-lambda.boligportal.dk/51b295046df2f83fa71352e497d95742?w=600&h=600&fit=crop&auto=compress%2Cenhance%2Cformat&crop=focalpoint
12,Jelling,27.1,26.8,osrm,11,19.0,52.4,59.2,73.8,False,95.8,20,Jelling,96,4,Hus,9200,https://www.boligportal.dk/huse/jelling/96m2-4-vaer-id-5225772,8,8,8,71,For fï¿½ detaljer,5225772,https://www.boligportal.dk/huse/jelling/96m2-4-vaer-id-5225772,Kollegievej,7300,Jelling,55.757,9.415,2021-09-17T12:28:14.910709+00:00,2021-09-17T12:28:14.910709+00:00,9200,96,4,27600,0,46000,1. juli 2026,-,Nej,-,False,Nej,BoligAgent,True,ok,2026-06-06T12:15:52.768208+00:00,71.0,True,Dagligt byhus udlejes. - 96 m² - 9.200 kr,Centralt beliggende hus udlejes i Jelling.,https://www.boligportal.dk/static/images/no-image.jpg
13,Jelling,28.5,27.6,osrm,13,20.1,49.6,60.7,69.2,True,97.8,10,Jelling,95,3,Rï¿½kkehus,9295,https://www.boligportal.dk/r%C3%A6kkehuse/jelling/95m2-3-vaer-id-5551791,8,8,9,86,God pris og placering,5551791,https://www.boligportal.dk/r%C3%A6kkehuse/jelling/95m2-3-vaer-id-5551791,Havegangen,7300,Jelling,55.754,9.433,2025-09-18T13:43:43.054946+00:00,2025-09-18T13:43:43.054946+00:00,9295,95,3,27885,9295,46475,Snarest muligt,-,Nej,-,True,Ja,BoligAgent,True,ok,2026-06-06T12:15:41.315036+00:00,86.0,True,3 værelses rækkehus på Havegangen i Jelling udleje - 95 m² - 9.295 kr,Velkommen til Haverne i Jelling – moderne étplansrækkehuse i naturskønne omgivelserI Haverne finder,https://image-lambda.boligportal.dk/7060ecc746cf7b44ae2e1fad642882ed?w=600&h=600&fit=crop&auto=compress%2Cenhance%2Cformat&crop=focalpoint
14,Jelling,28.5,27.6,osrm,14,20.1,49.6,60.5,52.2,True,105.2,4,Jelling,95,4,Rï¿½kkehus,9995,https://www.boligportal.dk/r%C3%A6kkehuse/jelling/95m2-4-vaer-id-5283314,8,9,8,92,Meget attraktiv by,5283314,https://www.boligportal.dk/r%C3%A6kkehuse/jelling/95m2-4-vaer-id-5283314,Havegangen,7300,Jelling,55.754,9.433,2022-06-14T08:48:16.422866+00:00,2022-06-14T08:48:16.422866+00:00,9995,95,4,29985,9995,49975,1. august 2026,-,Nej,-,True,Ja,BoligAgent,True,ok,2026-06-06T12:15:35.070328+00:00,92.0,True,4 værelses rækkehus på Havegangen i Jelling udleje - 95 m² - 9.995 kr,Velkommen til Haverne i Jelling – moderne étplansrækkehuse i naturskønne omgivelser I Haverne finder,https://image-lambda.boligportal.dk/97b2193e6cd13c2acc909e29b4ea906f?w=600&h=600&fit=crop&auto=compress%2Cenhance%2Cformat&crop=focalpoint
15,Vejle/Grejs/Oedsted,30.3,30.3,osrm,16,25.7,35.6,24.6,14.3,True,121.7,23,Vejle,78,3,Raekkehus,9495,https://www.boligportal.dk/r%C3%A6kkehuse/vejle/78m2-3-vaer-id-5635678,,,,,Ny tilfoejelse,5635678,https://www.boligportal.dk/r%C3%A6kkehuse/vejle/78m2-3-vaer-id-5635678,Knuth Beckers Vej,7100,Vejle,55.653,9.502,2026-05-29T07:06:39.972925+00:00,2026-05-29T07:06:39.972925+00:00,9495,78,3,28485,0,37980,1. marts 2027,-,Nej,-,True,Ja,BoligAgent,True,ok,2026-06-06T12:15:56.868480+00:00,0.0,True,Skønt 3 værelses rækkehus i Ny højen - 78 m² - 9.495 kr,Drømmer du om en rummelig bolig med plads til både hverdag og hygge? Dette dejlige rækkehus på 78 m²,https://image-lambda.boligportal.dk/bda8e51953fbc9ea021600795608b84a?w=600&h=600&fit=crop&auto=compress%2Cenhance%2Cformat&crop=focalpoint
16,Vejle/Grejs/Oedsted,30.3,30.3,osrm,15,25.7,35.6,26.3,31.5,True,114.2,22,Vejle,91,3,Raekkehus,10395,https://www.boligportal.dk/r%C3%A6kkehuse/vejle/91m2-3-vaer-id-5635680,,,,,Ny tilfoejelse,5635680,https://www.boligportal.dk/r%C3%A6kkehuse/vejle/91m2-3-vaer-id-5635680,Knuth Beckers Vej,7100,Vejle,55.653,9.502,2026-05-29T07:10:59.101685+00:00,2026-05-29T07:10:59.101685+00:00,10395,91,3,31185,0,41580,1. marts 2027,-,Nej,-,True,Ja,BoligAgent,True,ok,2026-06-06T12:15:55.539319+00:00,0.0,True,Stort 3 værelses rækkehus i Ny højen - 91 m² - 10.395 kr,Drømmer du om en rummelig bolig med plads til både hverdag og hygge? Dette dejlige rækkehus på 78 m²,https://image-lambda.boligportal.dk/8c08bbb20972416dd4eefd593a0105cb?w=600&h=600&fit=crop&auto=compress%2Cenhance%2Cformat&crop=focalpoint
17,Egtved/Vester Nebel,31.8,28.8,osrm,18,26.7,33.1,48.0,45.1,True,108.3,8,Vester Nebel/Egtved,108,4,Rï¿½kkehus,11700,https://www.boligportal.dk/r%C3%A6kkehuse/egtved/108m2-4-vaer-id-5620308,8,10,6,88,Stor og moderne,5620308,https://www.boligportal.dk/r%C3%A6kkehuse/egtved/108m2-4-vaer-id-5620308,Søstervænget,6040,Egtved,55.558,9.41,2026-04-16T11:27:00.106243+00:00,2026-04-16T11:27:00.106243+00:00,11700,108,4,35100,0,58500,1. juli 2026,-,Nej,-,True,Ja,BoligAgent,True,ok,2026-06-06T12:15:39.233379+00:00,88.0,True,Nye moderne lejeboliger i skønne Vester Nebel - 108 m² - 11.700 kr,Nybyggede rækkehuse til leje på Søstervænget i Vester Nebel – klar til indflytning 1. juli 2026 Drø,https://image-lambda.boligportal.dk/d4d20fed1c3740a4cec6671638d556cf?w=600&h=600&fit=crop&auto=compress%2Cenhance%2Cformat&crop=focalpoint
18,Vejle/Grejs/Oedsted,35.3,44.3,osrm,19,26.9,32.6,49.1,61.8,True,101.0,9,Grejs,99,3,Rï¿½kkehus,9995,https://www.boligportal.dk/r%C3%A6kkehuse/vejle/99m2-3-vaer-id-5274406,7,9,7,87,Bedste Grejs-kandidat,5274406,https://www.boligportal.dk/r%C3%A6kkehuse/vejle/99m2-3-vaer-id-5274406,H. C. Monrads Vej,7100,Vejle,55.764,9.541,2022-05-02T12:45:24.685306+00:00,2022-05-02T12:45:24.685306+00:00,9995,99,3,29985,9995,49975,26. august 2026,-,Nej,-,True,Ja,BoligAgent,True,ok,2026-06-06T12:15:40.311584+00:00,87.0,True,3 værelses rækkehus på H. C. Monrads Vej i Vejle u - 99 m² - 9.995 kr,Moderne et-plans rækkehuse i Grejs På H. C. Monrads Vej i Grejs ved Vejle finder du 39 moderne og ti,https://image-lambda.boligportal.dk/9a47969697764f1046dd82759e0e3d1f?w=600&h=600&fit=crop&auto=compress%2Cenhance%2Cformat&crop=focalpoint
19,Vejle/Grejs/Oedsted,36.1,44.9,osrm,17,26.6,33.3,40.8,9.0,True,124.0,18,Grejs,79,3,Rï¿½kkehus,9795,https://www.boligportal.dk/r%C3%A6kkehuse/vejle/79m2-3-vaer-id-5555587,7,6,7,73,Lidt lille,5555587,https://www.boligportal.dk/r%C3%A6kkehuse/vejle/79m2-3-vaer-id-5555587,Degnesvinget,7100,Vejle,55.764,9.537,2025-09-30T05:33:18.658830+00:00,2025-09-30T05:33:18.658830+00:00,9795,79,3,29385,0,39180,1. august 2026,,Nej,-,True,Ja,BoligAgent,True,ok,2026-06-06T12:15:50.144782+00:00,73.0,True,Lækkert dobbelthus med carport og have i skønne Gr - 79 m² - 9.795 kr,"🏡 3-værelses rækkehus på 79 m² i Grejs Have – lys, moderne og naturskøn bolig Nu udlejes et skønt r",https://image-lambda.boligportal.dk/d4ded3c98fa4d8e12075d32c1870512c?w=600&h=600&fit=crop&auto=compress%2Cenhance%2Cformat&crop=focalpoint
20,Lunderskov,39.7,37.7,osrm,21,31.2,21.8,32.9,0.0,True,127.9,17,Lunderskov,91,3,Rï¿½kkehus,9595,https://www.boligportal.dk/r%C3%A6kkehuse/lunderskov/75m2-3-vaer-id-5563023,5,8,8,75,Naturskï¿½nt men lï¿½ngere vï¿½k,5563023,https://www.boligportal.dk/r%C3%A6kkehuse/lunderskov/75m2-3-vaer-id-5563023,Majsvang,6640,Lunderskov,55.472,9.306,2025-10-21T09:31:33.255419+00:00,2025-10-21T09:31:33.255419+00:00,9000,75,3,27000,9000,36000,1. august 2026,,Nej,-,True,Ja,BoligAgent,True,ok,2026-06-06T12:15:48.748367+00:00,75.0,True,3 værelses rækkehus på Majsvang i Lunderskov udlej - 75 m² - 9.000 kr,### **Gå på opdagelse i vores 75 m² - 3 værelses rækkehus (Hvedevang 51) via vores virtuelle rundvis,https://image-lambda.boligportal.dk/a12569a6fd572e289bc057979d4d24d2?w=600&h=600&fit=crop&auto=compress%2Cenhance%2Cformat&crop=focalpoint
21,Vejen/Askov,40.0,36.6,osrm,20,29.1,27.1,44.8,64.1,True,100.0,13,Vejen/Askov,95,3,Rï¿½kkehus,9500,https://www.boligportal.dk/r%C3%A6kkehuse/vejen/95m2-3-vaer-id-5387237,7,8,9,83,Billig og moderne,5387237,https://www.boligportal.dk/r%C3%A6kkehuse/vejen/95m2-3-vaer-id-5387237,Lyhnes Vej,6600,Vejen,55.469,9.105,2023-09-11T08:55:06.084092+00:00,2023-09-11T08:55:06.084092+00:00,9500,95,3,28500,150,38150,1. oktober 2026,,Nej,-,True,Ja,BoligAgent,True,ok,2026-06-06T12:15:44.347587+00:00,83.0,True,ENERGIVENLIGE RÆKKEHUSE PÅ VEJ! - 95 m² - 9.500 kr,"💚Rækkehuse til leje på Lyhnes Vej, Askov - Vejen💚 Her er der husdyr tilladt efter aftale med os - v",https://image-lambda.boligportal.dk/59982e9554ad62ef5640d59335b5c556?w=600&h=600&fit=crop&auto=compress%2Cenhance%2Cformat&crop=focalpoint
22,Kolding,43.0,44.6,osrm,22,35.3,11.5,30.4,29.4,True,115.1,14,Kolding Nr. Bjert,86,3,Rï¿½kkehus,9895,https://www.boligportal.dk/r%C3%A6kkehuse/kolding/86m2-3-vaer-id-5636828,6,7,8,80,God Kolding-beliggenhed,5636828,https://www.boligportal.dk/r%C3%A6kkehuse/kolding/86m2-3-vaer-id-5636828,Teodorsvej,6000,Kolding,55.517,9.532,2026-06-01T11:47:38.086931+00:00,2026-06-01T11:47:38.086931+00:00,9895,86,3,29685,9895,39580,1. september 2026,-,Nej,-,True,Ja,BoligAgent,True,ok,2026-06-06T12:15:45.372328+00:00,80.0,True,3 værelses rækkehus på Teodorsvej i Kolding udleje - 86 m² - 9.895 kr,"Velkommen til dette flotte 3-værelses rækkehus, som er ideelt til både den lille familie, parret ell",https://image-lambda.boligportal.dk/9fce15d56227f778ef2e22dac92b6c24?w=600&h=600&fit=crop&auto=compress%2Cenhance%2Cformat&crop=focalpoint
23,Kolding,45.2,46.3,osrm,23,37.4,6.3,7.2,31.5,True,114.2,25,Kolding,91,4,Hus,10395,https://www.boligportal.dk/huse/kolding/91m2-4-vaer-id-5634463,,,,,Ny tilfoejelse,5634463,https://www.boligportal.dk/huse/kolding/91m2-4-vaer-id-5634463,Samsøvej,6000,Kolding,55.504,9.556,2026-05-26T11:35:54.319191+00:00,2026-05-26T11:35:54.319191+00:00,10395,91,4,31185,10395,51975,1. september 2026,-,Nej,-,True,Ja,BoligAgent,True,ok,2026-06-06T12:15:59.804621+00:00,0.0,True,Lyst og rummeligt 4-værelses hus i Kolding - 91 m² - 10.395 kr,"Velkommen til dit nye hjem, et moderne og rummeligt 91 kvadratmeters hus, beliggende i naturskønne o",https://image-lambda.boligportal.dk/0f3b943d3769b910097d7e88beb4defb?w=600&h=600&fit=crop&auto=compress%2Cenhance%2Cformat&crop=focalpoint
24,Kolding,48.9,52.0,osrm,24,38.6,3.3,6.1,39.5,True,110.7,24,Kolding,84,3,Raekkehus,9300,https://www.boligportal.dk/r%C3%A6kkehuse/kolding/84m2-3-vaer-id-5628518,,,,,Ny tilfoejelse,5628518,https://www.boligportal.dk/r%C3%A6kkehuse/kolding/84m2-3-vaer-id-5628518,Elisesvej,6000,Kolding,55.454,9.485,2026-05-08T11:42:19.202299+00:00,2026-05-08T11:42:19.202299+00:00,9300,84,3,27900,0,37200,1. november 2026,,Nej,-,True,Ja,BoligAgent,True,ok,2026-06-06T12:15:58.424856+00:00,0.0,True,Rummeligt hus i roligt område - 84 m² - 9.300 kr,Vi udlejer nybyggede etplans rækkehuse på Elisesvej og Langagerhave i Vonsild 6000 Kolding 2-5 være,https://image-lambda.boligportal.dk/7569c730cfc82e21a8726bd1222c6c67?w=600&h=600&fit=crop&auto=compress%2Cenhance%2Cformat&crop=focalpoint
25,Vamdrup/Oedis,50.0,49.8,osrm,25,39.9,0.0,25.0,87.1,True,90.0,21,Vamdrup/ï¿½dis,86,2,Rï¿½kkehus,7738,https://www.boligportal.dk/r%C3%A6kkehuse/vamdrup/86m2-2-vaer-id-5411408,4,5,10,65,Billig men afsides,5411408,https://www.boligportal.dk/r%C3%A6kkehuse/vamdrup/86m2-2-vaer-id-5411408,Krovænget,6580,Vamdrup,55.406,9.384,2024-01-09T11:43:04.278317+00:00,2024-01-09T11:43:04.278317+00:00,7738,86,2,,241,47699,15. juli 2026,-,Nej,-,True,Ja,BoligAgent,True,ok,2026-06-06T12:15:54.190820+00:00,65.0,True,2 værelses rækkehus på Krovænget i Vamdrup udlejes - 86 m² - 7.738 kr,"Drømmer du om et liv med ro og fred, men alligevel tæt på? Velkommen til Ødis! Oplev charmen og roe",https://image-lambda.boligportal.dk/985e5d92a46286eb58e14c92ad0af4ea?w=600&h=600&fit=crop&auto=compress%2Cenhance%2Cformat&crop=focalpoint
